Feature,Importance
Age,0.13460873189609424
Q36,0.09367516229386404
BSum,0.09211886378527427
Q26,0.08024140122003473
PSum,0.06333115158277615
FSum,0.06323831670466104
Q28,0.05531555383469039
Q27,0.04955598259697721
Q18,0.033718604003252155
Q25,0.033290149727639794
Q23,0.03148140587487305
Q21,0.03073233687413987
Q44,0.029284356489785706
Q30,0.029072310821485283
Q20,0.028378419360739916
Age31Plus,0.02628290308480947
Q19,0.024370519107880104
Living_ILSL,0.02356763789925509
Q16,0.023522494440371616
Q29,0.020653525911122253
Q17,0.019150727378222432
Age21_30,0.014409445112051222
Living_RH3,0.0
Living_RH2,0.0
Living_RH4,0.0
Living_RH1,0.0
